scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
pred_tramo,XGB,segmento_tramo_real,programado,14+ (PLOS),99,0.7575757575757576,39.662376058333294,48.88420099999996,7.794124295959598,47.4565003542929
pred_tramo,XGB,segmento_tramo_real,programado,3-6,501,0.9401197604790419,9.26365697309381,9.258450539999998,0.9858219755289421,10.249478948622754
pred_tramo,XGB,segmento_tramo_real,programado,7-13,110,0.8636363636363636,17.507910894181812,9.258450539999998,1.5042254744545454,19.012136368636362
pred_tramo,XGB,segmento_tramo_real,urgente,0-2,200,0.725,7.998481774449998,9.077370799999997,0.7198187762,8.71830055065
pred_tramo,XGB,segmento_tramo_real,urgente,14+ (PLOS),180,0.75,37.40813691147219,46.650424999999956,8.201670260944445,45.60980717241664
pred_tramo,XGB,segmento_tramo_real,urgente,3-6,179,0.8994413407821229,13.15463427581005,9.258450539999998,1.2256774592178772,14.38031173502793
pred_tramo,XGB,segmento_tramo_real,urgente,7-13,139,0.935251798561151,20.04403011021582,24.329095924999997,1.981376778489209,22.02540688870503
segmento_pred_tramo,LR,global,todos,todos,2391,0.8979506482643246,14.821679363579078,7.562729427963135,3.3575933848712216,18.179272748450302
segmento_pred_tramo,RF,global,todos,todos,2391,0.8971141781681304,12.557185280904443,7.24592685485136,1.5237125485415053,14.080897829445945
segmento_pred_tramo,XGB,global,todos,todos,2391,0.8971141781681304,11.6741673514266,6.949050360000001,1.8113904602572146,13.485557811683812
segmento_pred_tramo,LR,tramo_real,todos,0-2,1183,0.9146238377007607,5.894690741837809,2.7299592970494,0.49398160063950447,6.388672342477314
segmento_pred_tramo,LR,tramo_real,todos,14+ (PLOS),279,0.7455197132616488,50.35066633593021,33.77348655284688,22.91251205588969,73.26317839181988
segmento_pred_tramo,LR,tramo_real,todos,3-6,680,0.9397058823529412,12.438203504710467,7.562729427963135,1.091709373206218,13.529912877916681
segmento_pred_tramo,LR,tramo_real,todos,7-13,249,0.8755020080321285,23.93334104335664,30.419504211351082,1.2396478405506335,25.172988883907273
segmento_pred_tramo,RF,tramo_real,todos,0-2,1183,0.9137785291631445,5.40129154882373,3.010371868826062,0.496010255440917,5.897301804264646
segmento_pred_tramo,RF,tramo_real,todos,14+ (PLOS),279,0.8064516129032258,40.175098251524425,49.75096915570557,6.710435143747501,46.88553339527192
segmento_pred_tramo,RF,tramo_real,todos,3-6,680,0.9205882352941176,10.362530305070205,7.245926854851361,1.079545132853655,11.442075437923862
segmento_pred_tramo,RF,tramo_real,todos,7-13,249,0.8554216867469879,21.602928051248984,14.277352312835882,1.8076886583537985,23.410616709602785
segmento_pred_tramo,XGB,tramo_real,todos,0-2,1183,0.9137785291631445,4.952425406459001,2.468853514999998,0.544840399759087,5.4972658062180875
segmento_pred_tramo,XGB,tramo_real,todos,14+ (PLOS),279,0.7777777777777778,37.3670397409319,44.07334835000001,8.728890310376347,46.09593005130825
