segmento,precision,recall,thresholds
global,0.14967811158798283,1.0,0.004244855
global,0.1497584541062802,1.0,0.004251576
global,0.1498388829215897,1.0,0.004291182
global,0.1504043126684636,1.0,0.004292188
global,0.15048543689320387,1.0,0.0043237316
global,0.15056664867781974,1.0,0.0043275305
global,0.15064794816414687,1.0,0.0043303566
global,0.15113759479956662,1.0,0.004345385
global,0.15121951219512195,1.0,0.004348109
global,0.15130151843817788,1.0,0.0043486827
global,0.15138361367335865,1.0,0.0043581733
global,0.15146579804560262,1.0,0.0043616737
global,0.15154807170016296,1.0,0.004364771
global,0.1516304347826087,1.0,0.004374843
global,0.15171288743882544,1.0,0.004381086
global,0.15179542981501631,1.0,0.0043940423
global,0.15187806205770277,1.0,0.0044074804
global,0.15212649945474374,1.0,0.0044128024
global,0.15220949263502456,1.0,0.0044235997
global,0.15229257641921398,1.0,0.0044314945
global,0.1523757509557619,1.0,0.0044342135
global,0.15245901639344261,1.0,0.0044471277
global,0.15254237288135594,1.0,0.0044488674
global,0.1526258205689278,1.0,0.004455984
global,0.15287671232876712,1.0,0.0044569783
global,0.15296052631578946,1.0,0.0044970755
global,0.1531284302963776,1.0,0.0045020347
global,0.15321252059308071,1.0,0.0045071538
global,0.1532967032967033,1.0,0.004533512
global,0.15338097855964816,1.0,0.004546906
global,0.15346534653465346,1.0,0.0045538265
global,0.1537190082644628,1.0,0.0045932312
global,0.15380374862183022,1.0,0.004596101
global,0.15388858246001103,1.0,0.0045982003
global,0.15397350993377484,1.0,0.004648972
global,0.15457063711911356,1.0,0.0046512075
global,0.15465631929046564,1.0,0.0046558324
global,0.15474209650582363,1.0,0.0046917964
global,0.15482796892341844,1.0,0.004701263
global,0.15525876460767946,1.0,0.0047127386
global,0.15534521158129175,1.0,0.004722442
global,0.1554317548746518,1.0,0.004755315
global,0.15551839464882944,1.0,0.004763539
global,0.15560513106525375,1.0,0.0047897
global,0.15569196428571427,1.0,0.004816109
global,0.15577889447236182,1.0,0.004821217
global,0.1558659217877095,1.0,0.004821521
global,0.15595304639463387,1.0,0.0048225424
global,0.15604026845637584,1.0,0.004828638
global,0.15674157303370786,1.0,0.004836219
global,0.15682967959527824,1.0,0.0048634624
global,0.15691788526434194,1.0,0.0048698382
global,0.1571830985915493,1.0,0.00486991
global,0.157271702367531,1.0,0.004882321
global,0.15736040609137056,1.0,0.0049163788
global,0.1574492099322799,1.0,0.004920388
global,0.15753811405985318,1.0,0.0049237576
global,0.1576271186440678,1.0,0.0049385754
global,0.15771622385528547,1.0,0.0049411776
global,0.1578054298642534,1.0,0.004963526
global,0.15789473684210525,1.0,0.004969825
global,0.1579841449603624,1.0,0.0049809767
global,0.15807365439093485,1.0,0.004984828
global,0.15816326530612246,1.0,0.005011021
global,0.158252977878616,1.0,0.0050182515
global,0.1583427922814983,1.0,0.00502415
global,0.15843270868824533,1.0,0.0050420524
global,0.15852272727272726,1.0,0.005044725
global,0.1586128482092098,1.0,0.0050469367
global,0.15870307167235495,1.0,0.005053557
global,0.15879339783722254,1.0,0.005065917
global,0.15888382687927108,1.0,0.0050697564
global,0.15897435897435896,1.0,0.005090546
global,0.15906499429874574,1.0,0.005093807
global,0.15915573302909297,1.0,0.0051128804
global,0.15924657534246575,1.0,0.0051268293
global,0.15933752141633353,1.0,0.005143267
global,0.15942857142857142,1.0,0.0051495833
global,0.15961098398169338,1.0,0.0051971185
global,0.15970234688036633,1.0,0.005199658
global,0.15979381443298968,1.0,0.005207527
global,0.15988538681948425,1.0,0.0052179126
global,0.15997706422018348,1.0,0.005227433
global,0.16006884681583478,1.0,0.005233673
global,0.16016073478760046,1.0,0.005236926
global,0.16025272831705917,1.0,0.0052417126
global,0.16034482758620688,1.0,0.0052430104
global,0.1604370327774583,1.0,0.005251259
global,0.16052934407364788,1.0,0.0052554547
global,0.16062176165803108,1.0,0.0052698483
global,0.16080691642651296,1.0,0.005316107
global,0.16089965397923875,1.0,0.0053375717
global,0.16099249855741488,1.0,0.005348228
